Id,Predicted
114982,371300.0
95653,475060.0
40303,352720.0
109506,321500.0
100149,400300.0
7610,304700.0
61101,356071.67
68167,477183.33
65701,334633.33
56039,313258.33
81919,460530.0
99768,432000.0
124053,667330.0
3942,351525.0
118904,473000.0
30060,400388.8
185729,457600.0
46357,784738.8
20662,388800.0
102274,462000.0
53369,274900.0
9719,328542.13
20145,339200.0
159051,640733.33
31481,311500.0
142247,367000.0
29119,337800.0
151448,456213.33
60594,277750.0
83400,592642.86
40168,287200.0
52407,399838.8
127232,487300.0
131188,454550.0
952,213900.0
166230,437625.0
144844,422350.0
33207,314533.33
28355,725400.0
179918,554700.0
162451,757300.0
19390,240925.0
114861,423666.4
132259,376650.0
180033,710000.0
97052,479000.0
94224,412100.0
32295,459400.0
171908,855000.0
80236,586991.67
156193,413100.0
54494,309877.6
174530,589050.0
143835,345888.8
26275,341175.0
61627,602416.67
49813,294886.67
3466,459437.5
117691,485400.0
132738,591877.6
114211,577893.33
116741,433500.0
39246,405966.67
150011,364600.0
182319,548622.13
32441,321810.0
18842,309866.67
99428,388500.0
96435,413557.14
134803,374988.8
171636,595510.4
115944,499846.67
149001,463736.67
19084,329450.0
178128,810390.67
74818,369700.0
49603,345150.0
86262,611703.33
14520,270912.5
57209,929377.6
148575,602300.0
33,173629.9
180401,670788.8
87114,382547.62
16450,310600.0
28848,332450.0
11519,267000.0
7202,298350.0
2843,233905.87
156073,479350.0
132217,408450.0
140349,507200.0
34614,321050.0
135594,434100.0
170933,687600.0
62586,401988.8
145868,379900.0
15155,204000.0
61290,353016.67
184569,575000.0
169996,359391.67
7026,406500.0
128356,378898.8
134501,496300.0
163406,658933.33
56796,403516.67
174870,693800.0
142554,499944.27
59547,284900.0
143113,435700.0
154091,414300.0
61191,598216.28
135899,382033.33
172405,582500.0
184121,522400.0
1063,375000.0
6348,354400.0
79995,533700.0
50573,341850.0
79894,487366.67
113553,376900.0
31931,342300.0
86645,384833.33
123780,376000.0
142940,492700.0
138987,484400.0
41502,267350.0
100104,528000.0
83570,472888.8
181648,629200.0
68406,452675.0
114567,326200.0
5470,387323.81
176926,851300.0
173013,428300.0
110219,406900.0
52178,246400.0
120569,491998.8
132710,475500.0
10478,386758.33
100309,839030.0
76446,325000.0
140674,399222.13
122786,571200.0
66214,506228.57
120240,355600.0
113802,369595.0
169747,387716.67
45819,386577.76
36170,294283.33
84049,497650.0
104675,366280.0
66165,749991.67
92499,367750.0
107783,469000.0
148441,442777.6
12344,271800.0
93256,538800.0
48139,512200.0
101908,388966.67
134084,385600.0
17216,239015.48
185201,722000.0
185016,612500.0
25318,303400.0
65253,329753.57
57696,271550.0
30939,331500.0
128338,375300.0
104156,408900.0
41455,366688.8
126390,346450.0
165803,482416.13
108253,379200.0
15221,223300.0
129322,342166.67
86142,614000.0
150957,429200.0
97028,459350.0
3219,336900.0
172533,477900.0
147313,435000.0
168865,463100.0
138278,475250.0
82280,334000.0
4380,312970.28
4327,580000.0
109861,401077.6
45273,486500.0
102888,812471.96
77664,478400.0
58355,344150.0
91308,258433.33
169692,430350.0
154931,585750.0
123897,464500.0
43550,522606.69
94084,433800.0
63629,315533.33
163153,461236.67
165076,637000.0
55701,350700.0
19310,376900.0
18205,307200.0
59608,331441.67
60785,516480.0
51513,306216.67
145397,392500.0
101693,402500.0
164688,514688.8
82863,349000.0
1754,254500.0
5376,376213.33
130074,471100.0
102843,724500.0
29760,343625.0
130642,372255.2
31347,386900.0
24205,348300.0
165100,419000.0
81514,461888.8
116369,529000.0
84639,370233.33
97982,489466.67
91083,785333.33
149132,627511.67
41826,420900.0
52033,331572.5
21665,309800.0
62257,303600.0
10102,339688.8
23904,314400.0
179693,964500.0
144227,785316.67
120211,345450.0
173440,430950.0
46749,359577.6
96942,470500.0
183177,499177.6
35398,331475.87
30263,340640.0
48194,366000.0
129424,475000.0
110123,413200.0
60370,539400.0
33837,429786.67
108049,479300.0
78656,431471.55
7172,286200.0
66304,356066.67
78058,410900.0
176324,684900.0
165880,598100.0
93902,359200.0
116039,355200.0
151166,472300.0
40210,303675.0
98367,339350.0
160925,558850.0
104371,504800.0
78415,699500.0
83660,547300.0
121434,526500.0
78336,565200.0
52510,383622.13
64261,397000.0
97749,414250.0
172084,445500.0
52569,267500.0
57400,420029.07
169875,550500.0
58398,430235.47
183622,628877.6
48753,566300.0
130190,570750.0
108466,337865.52
157786,567816.67
95190,349600.0
87452,477100.0
142203,467000.0
130773,586300.0
168853,390550.0
64684,359596.27
57446,348500.0
153747,447230.32
159666,445300.0
71555,389040.67
134319,780300.0
93943,430600.0
109872,459400.0
177223,639400.0
93784,589010.0
6380,341940.0
132297,392880.0
125110,503088.8
36843,319264.29
121955,425100.0
82973,511100.0
103986,366500.0
97824,380240.67
64151,394820.0
165946,397833.33
159307,410040.0
131434,421500.0
8556,460600.0
37868,381025.0
14032,315800.5
21341,350000.0
135288,541600.0
50116,281550.0
97940,448100.0
162134,448516.67
166998,427497.2
137392,478402.13
1460,336566.67
171905,844600.0
175067,600800.0
172514,634900.0
17738,300100.0
67047,365450.0
124014,492900.0
185762,831183.33
1311,249835.0
119140,579500.0
142546,533800.0
114400,266466.67
22406,411400.0
92766,506950.0
60485,428400.0
91648,448500.0
132526,862000.0
25180,425480.0
48904,243599.9
146550,458600.0
19407,515100.0
47699,321300.0
2620,271645.94
174106,524033.33
112846,435450.0
83926,454500.0
64285,372466.53
5733,287313.8
87638,478960.0
53604,312789.29
53244,432088.8
82872,386825.0
66096,537141.67
173642,417675.0
145405,381266.4
90156,604800.0
180075,685000.0
5153,307500.0
134959,481888.8
64342,392375.0
51154,449550.0
40845,239958.33
170881,787760.0
106257,720988.8
114464,296200.0
97370,393830.71
172227,495933.33
151941,445588.8
107035,436900.0
135274,460055.2
169795,612088.8
83718,389800.0
42632,258110.93
68198,382755.47
112707,419700.0
36740,370500.0
42954,314900.0
5921,349675.0
40850,228400.0
44668,307400.0
21263,332626.3
162241,494800.0
81902,419500.0
169151,653299.8
154334,451300.0
59218,399150.0
37714,346488.8
106222,521100.0
139069,526900.0
4425,448547.2
140007,418200.0
90024,392000.0
153101,422900.0
37538,343900.0
32399,282666.67
38946,332133.33
151272,490900.0
95430,477833.33
101750,648800.0
16356,270374.29
131496,406800.0
167864,531600.0
17832,362166.67
106738,350960.0
33431,271600.0
164505,513750.0
47565,424500.0
99660,615510.0
20200,337433.33
28507,419134.4
43495,429000.0
23794,395100.0
40297,349250.0
53944,520500.0
11040,802000.0
106585,437966.4
70050,701508.2
75026,457220.0
142562,541200.0
113332,510477.6
104548,698500.0
159065,489332.8
157589,490900.0
26850,350860.0
83917,390000.0
124331,387200.0
58018,324983.33
163913,656400.0
109105,436600.0
97862,427000.0
16478,306993.33
35187,290700.0
25446,385580.0
47828,406088.8
123220,450550.0
16366,327175.47
144449,404600.0
39920,318383.33
160888,465831.23
47978,261888.33
14331,361400.0
60334,351999.8
49737,249500.0
98533,352600.0
38375,332789.29
176978,668183.33
60474,432996.6
163806,670063.33
4654,335433.33
130912,400088.8
115098,453562.93
56214,274983.33
63720,341000.0
143496,587700.0
33941,346980.0
66720,326100.0
29518,289500.0
68026,622107.0
161546,491000.0
118804,346050.0
126852,397800.0
102392,380900.0
49738,232000.0
49424,436150.0
18184,383700.0
5408,384750.0
157571,463751.19
111705,638790.0
179891,724200.0
76587,365566.67
2629,308900.0
119008,384800.0
128414,310400.0
162481,384408.8
39075,409350.0
113444,542588.8
58984,605200.0
134087,386950.0
27723,281900.0
61426,924222.13
26496,309280.0
8183,378600.0
96508,421550.0
56072,347900.0
77192,406600.0
84054,500600.0
55624,358200.0
163711,437100.0
29219,466100.0
81813,421333.33
181000,758338.8
143894,440766.67
141800,507850.0
30009,304650.0
45917,264190.53
14425,346100.0
23268,242200.0
1284,244400.0
69986,699812.5
134779,409500.0
78114,414750.0
128833,432100.0
129335,415800.0
56632,355800.0
46967,300200.0
146611,342364.32
37748,329026.0
156600,442288.8
105167,356600.0
35572,314233.33
154900,511200.0
68778,368695.0
40761,677038.8
76922,351300.0
57737,290360.0
63946,442861.9
111235,420933.33
114882,505900.0
12676,261485.56
138376,418633.33
90637,430728.67
184522,613800.0
92974,312616.67
8857,286100.0
27895,289200.0
156181,562060.0
41834,520318.8
157391,565400.0
143702,371088.8
185912,964488.8
11229,314100.0
41300,361233.33
72247,371900.0
83180,498800.0
148335,533980.0
7890,385677.6
135138,465300.0
27131,303466.4
166558,666100.0
131032,395800.0
74357,385000.0
156049,368444.27
69414,808000.0
97276,386500.0
82842,366882.14
148527,442500.0
144752,437875.0
18175,345850.0
11905,279616.67
171029,467775.0
59320,442050.0
84110,408966.67
78965,804868.0
85951,644700.0
163141,463916.67
109999,413400.0
147801,371670.0
139213,408980.0
126460,688996.67
28015,379600.0
181431,576200.0
52696,748600.0
50605,285300.0
165242,491650.0
48813,262800.0
110483,552777.6
89306,350288.8
133442,415000.0
65829,715483.33
87579,422250.0
91465,454700.0
73701,501429.49
15530,398150.0
18230,471500.0
97193,480050.0
166625,608300.0
33195,453588.8
136148,491000.0
165033,794400.0
21315,343300.0
91814,283680.0
16891,479400.0
107918,711166.67
79471,392066.67
21862,490688.9
67991,467400.0
165486,455850.0
63600,409500.0
110049,339300.0
112307,315900.0
10157,328000.0
74635,499300.0
25784,410500.0
107059,428500.0
30356,389600.0
87516,795800.0
10936,569700.0
88543,528175.0
139877,399500.0
42424,457733.33
52670,607200.0
166867,454800.0
101107,533388.8
76199,521233.33
80888,307600.0
9911,353200.0
156640,470400.0
102356,549416.67
48860,374700.0
102849,800700.0
138105,457680.0
117983,456588.8
93922,412400.0
46238,388333.33
59022,725250.0
106646,453688.8
120040,530400.0
126172,363950.0
168000,603666.67
80749,409988.8
131491,504533.33
112112,575800.0
47501,333000.0
13728,264600.0
101768,330250.0
6316,324640.0
126098,854550.0
165,316880.0
19524,406442.86
150677,461544.0
59379,436716.67
74454,354060.93
175450,651500.0
89244,776525.87
116506,427538.8
147339,399450.0
74001,601600.0
90922,364900.0
1820,449983.33
110186,272305.47
62682,383188.8
89581,461850.0
137848,435450.0
161798,432550.0
170742,423300.0
82918,440550.0
37679,293500.0
154926,406100.0
149598,314300.0
44725,279566.67
90766,539500.0
148899,388000.0
126592,332300.0
157908,409503.53
113713,453813.33
148870,664300.0
165510,424000.0
101470,350700.0
51743,366733.33
27173,235900.0
27812,317366.67
95488,349650.0
173154,712200.0
121352,398800.0
143803,454100.0
63373,332010.66
1386,354499.9
163514,545700.0
35643,313575.0
120579,499000.0
128369,405798.8
141816,463355.2
161838,472650.0
71069,357488.8
77131,408088.8
17667,335500.0
52148,400500.0
72854,517877.6
102035,462000.0
111359,416700.0
17719,351200.0
123306,324000.0
161864,872500.0
180849,575421.96
160993,492580.0
162321,361550.0
46481,290988.8
79814,344600.0
137789,553200.0
54212,301919.4
33512,348417.57
57246,720500.0
183567,648100.0
126709,444700.0
38938,377600.0
31497,422300.0
43094,341166.67
40278,293200.0
174057,666400.0
88538,527925.0
78488,723777.6
170729,631075.0
173992,531488.8
60975,373200.0
54718,325850.0
178130,793788.8
133730,409370.0
70033,732666.67
43395,541200.0
142569,456100.0
25880,299183.33
139537,362866.67
3465,330750.0
40735,469484.52
162957,511070.0
83356,515100.0
32897,354233.33
49245,313800.0
60337,303620.0
139769,714009.07
52326,383400.0
162813,840423.79
180789,549133.33
49386,382100.0
33541,311183.33
159352,465979.82
42027,386800.0
155370,409785.86
143725,439900.0
131769,480400.0
139885,415100.0
93808,469517.86
10639,333252.92
168611,629700.0
167653,660788.8
123170,355000.0
139150,316400.0
62622,487150.0
168689,966300.0
18566,283800.0
67121,279000.0
119193,442800.0
75320,514368.81
185227,820628.48
59316,411166.67
42962,311400.0
51540,281625.0
37927,344750.0
85155,309200.0
148730,406088.8
182768,637777.6
21816,343300.0
119821,453600.0
53803,441315.1
75672,525850.0
164062,619800.0
9801,716300.0
90516,545200.0
126543,351700.0
20563,234277.6
173167,385488.8
165546,790799.73
140696,544000.0
60885,522612.5
71010,325400.0
65245,448984.17
7762,268166.67
162332,431200.0
132065,424800.0
163315,569833.33
94896,338500.0
13990,427800.0
86695,402060.0
136032,616608.33
181973,566300.0
70720,961600.0
176320,682900.0
123988,631966.67
75446,539500.0
165520,426150.0
95499,368466.4
73362,405530.0
115013,335200.0
170250,576500.0
117752,543300.0
120534,627500.0
43110,362400.0
173316,512588.8
163348,814407.37
167196,478100.0
